"ID"|"FIRST_NAME"|"LAST_NAME"|"GENDER"|"AGE"|"OCCUPATION"|"MARITALSTATUS_OUT"|"SALARY_OUT"|"ADDRESS"|"CITY"|"STATE"|"ZIP"|"PHONE"|"ALT_PHONE"|"EMAIL"|"SUBDATE"|"NUMBER_OF_RENTALS"
5976|Nellie|Kapsner|F|"25-34"|Academic/Educator||< 50,000|"1 Exchange Service Dr"|||"75062"|"972-280-2315"|"54-408-6248"|nellie@gmail.com|"2007-04-06T00:00:00.000Z"|377
5955|Ena|Spillane|F|"25-34"|Executive/Managerial||"150,000-199,999"|"5 Hillsboro St"|||"68503"|"402-774-7"|"195-330-655"|ena.spillane@spillane.com|"2007-03-07T00:00:00.000Z"|953
5945|Tabetha|Devaughn|F|"35-44"|Artist||"100,000-149,999"|"21564 2nd St"|||"63110"|"314-418-8206"|"974-908-6338"|""|"2016-01-29T00:00:00.000Z"|561
6025|Annett|Debaets|"0"|"25-34"|Academic/Educator|Married|< 50,000|"667 Crabbs Branch Way"|||"73102"|"405-555-3805"|"941-49-9119"|adebaets@debaets.com|"2015-06-30T00:00:00.000Z"|1
5997|Cristi|East|"0"|"25-34"|Executive/Managerial|Married|"150,000-199,999"|"91291 W Madison St"|||"48097"|"810-323-4793"|"673-109-5012"|cristi@hotmail.com|"2012-10-11T00:00:00.000Z"|515
5941|Armand|Stine|"0"|"25-34"|Other||"50,000-99,999"|"64 N Church St"|||"34744"|"407-670-8753"|"636-57-8467"|armand@gmail.com|"2007-02-08T00:00:00.000Z"|457
5920|Toni|Matsen|F|"25-34"|Academic/Educator||< 50,000|"1 Base Line St"|||"12545"|"845-345-8648"|"646-497-5777"|toni@hotmail.com|"2015-07-04T00:00:00.000Z"|185
5904|Waltraud|Okubo|F|"45-49"|Programmer||< 50,000|"9802 Old Seward Hwy"|||"44514"|"330-550-4955"|"614-471-2701"|waltraud@hotmail.com|"2014-05-15T00:00:00.000Z"|468
5902|Ezekiel|Davidowicz|M|"50-55"|Self-Employed||"50,000-99,999"|"7393 Wilson Ave"|||"30135"|"770-225-8449"|"424-202-2358"|ezekiel.davidowicz@cox.net|"2012-02-03T00:00:00.000Z"|959
5888|Julienne|Rawhoof|M|"25-34"|Writer||"150,000-199,999"|"27581 Ocean Ave"|||"19063"|"610-403-2327"|"938-647-8898"|julienne@yahoo.com|"2009-10-19T00:00:00.000Z"|784
5887|Wynell|Dimuccio|F|"35-44"|Writer||"100,000-149,999"|"54663 S Belair Rd"|||"60195"|"847-511-1604"|"72-632-6341"|wynell_dimuccioaol.com|"2009-09-08T00:00:00.000Z"|807
5874|Randy|Schuler|M|"25-34"|College/Grad Student||> 200,000|"2 21st Ave S"|||"60448"|"708-527-6289"|"6-155-8704"|randy@hotmail.com|"2008-07-08T00:00:00.000Z"|299
5872|Palmer|Nephew|M|"25-34"|Technical/Engineer||"100,000-149,999"|"42676 Tiger Ln"|||"46168"|"317-292-8744"|"152-766-8650"|palmer@cox.net|"2008-05-24T00:00:00.000Z"|676
5870|Ned|Stant|M|"25-34"|Sales/Marketing||> 200,000|"66741 Esten Ave"|||"33604"|"813-750-2196"|"79-463-1099"|ned@yahoo.com|"2009-03-19T00:00:00.000Z"|341
5853|Tammie|Laurito|M|"50-55"|Unemployeed||"100,000-149,999"|"184 E Tioga St"|||"48071"|"248-934-1549"|"318-905-3023"|tlauritoaol.com|"2008-12-23T00:00:00.000Z"|187
5852|Brigitte|Casey|F|"25-34"|Academic/Educator||> 200,000|"66077 Mason St #630"|||"47904"|"765-726-7825"|"867-866-8366"|brigitte@aol.com|"2014-04-08T00:00:00.000Z"|24
5850|Hilde|Handville|F|"25-34"|Executive/Managerial||> 200,000|"8790 Orms St #841"|||"43551"|"419-955-6260"|"753-58-5401"|hhandville@handville.org|"2012-12-14T00:00:00.000Z"|977
5846|Nadene|Schnepel|M|"45-49"|Self-Employed||"50,000-99,999"|"2 Lincoln St"|||"85009"|"602-590-2819"|"419-143-2516"|nadene_schnepel@schnepel.org|"2011-01-22T00:00:00.000Z"|843
5831|Vincenzo|Hettrick|M|"25-34"|Academic/Educator||"100,000-149,999"|"37 Richmond Valley Rd"|||"30080"|"770-716-6178"|"258-673-2064"|vhettrick@gmail.com|"2011-05-15T00:00:00.000Z"|241
5826|Eryn|Hugle|M|"18-24"|College/Grad Student||"50,000-99,999"|"28465 Leopard St #88"|||"76011"|"817-862-2143"|"840-906-4010"|eryn_hugle@aol.com|"2010-01-04T00:00:00.000Z"|298
5823|Hope|Vanatta|M|"25-34"|Programmer||< 50,000|"74 Pleasant Vly #69"|||"10013"|"212-703-3319"|"499-710-9247"|hope_vanatta@cox.net|"2009-06-17T00:00:00.000Z"|96
5779|Misty|Loyal|"1"|"25-34"|Customer Service|Married|"50,000-99,999"|"353 E Central Pky"|||"10003"|"212-557-2579"|"477-816-5593"|mloyal@yahoo.com|"2012-04-18T00:00:00.000Z"|647
5885|Maryjo|Zuber|"1"|"25-34"|Academic/Educator|Married|"50,000-99,999"|"2 Newman Springs Rd E"|||"94574"|"707-602-2658"|"153-494-5638"|maryjo.zuber@yahoo.com|"2014-12-07T00:00:00.000Z"|697
5827|Mayola|Konwinski|"1"|"25-34"|Artist||< 50,000|"94 E 67th St"|||"48503"|"810-4"|"379-79-5658"|mayola@yahoo.com|"2014-08-08T00:00:00.000Z"|491
5801|Marylou|Deak|"1"|"25-34"|Self-Employed||"100,000-149,999"|"13 Willits Rd"|||"33030"|"305-826-7048"|"437-59-3299"|marylou.deak@gmail.com|"2014-01-13T00:00:00.000Z"|4
5786|Jason|Hayles|M|"25-34"|Doctor/Health Care||"100,000-149,999"|"680 E Jackson St"|||"18072"|"610-267-9192"|"972-973-9692"|jason@hotmail.com|"2016-03-02T00:00:00.000Z"|598
5782|Quentin|Cephus|F|"35-44"|Other||"50,000-99,999"|"1458 White Ln"|||"89406"|"775-771-9840"|"620-943-7569"|quentin.cephusaol.com|"2011-12-03T00:00:00.000Z"|443
5780|Katheleen|Starck|M|"18-24"|Technical/Engineer||"50,000-99,999"|"8 W Lincoln Ave"|||"98409"|"253-528-9179"|"483-49-8241"|katheleen@starck.org|"2008-11-20T00:00:00.000Z"|71
6016|Katelynn|Zappile|M|"45-49"|Academic/Educator||"50,000-99,999"|"91919 W 8mile Rd"|||"90010"|"213-931-3711"|"768-580-8934"|katelynn@cox.net|"2013-06-10T00:00:00.000Z"|663
6003|Darrell|Cozza|F|"45-49"|Technical/Engineer||< 50,000|"4633 5th Ave"|||"95008"|"408-503-6858"|"692-504-8968"|darrell.cozza@yahoo.com|"2014-07-12T00:00:00.000Z"|213
5924|Gabriel|Strickert|M|"35-44"|Other||> 200,000|"607 Bloomfield Ave"|||"95131"|"408-588-5810"|"770-450-7020"|gabriel_strickert@yahoo.com|"2008-03-06T00:00:00.000Z"|685
5908|Rosemary|Lehmberg|M|"25-34"|College/Grad Student||< 50,000|"8674 S Valley View Blvd"|||"92704"|"714-670-5285"|"678-977-9292"|rlehmberg@hotmail.com|"2010-11-16T00:00:00.000Z"|794
5836|Josefa|Kovalovsky|M|"25-34"|Other||"150,000-199,999"|"43865 Hudson St #212"|||"93940"|"831-775-1256"|"451-54-2217"|josefa.kovalovsky@kovalovsky.com|"2011-06-28T00:00:00.000Z"|744
5869|Mercy|Kassab|"0"|"25-34"|Executive/Managerial||"150,000-199,999"|"1449 Iwaena St"|||"02125"|"617-897-2012"|"317-622-9843"|mkassab|"2009-09-08T00:00:00.000Z"|896
5995|Sherrill|Stroll|F|"35-44"|Academic/Educator||< 50,000|"45476 W Clarendon Ave"|||"07306"|"201-271-8031"|"85-919-2103"|sstroll@cox.net|"2015-03-01T00:00:00.000Z"|339
5992|Russel|Crayford|F|"18-24"|College/Grad Student||> 200,000|"2761 Downey Ave"|||"08094"|"856-312-3607"|"229-661-4785"|russel_crayford@yahoo|"2015-01-12T00:00:00.000Z"|255
5987|Jeff|Scoma|M|"25-34"|Self-Employed||< 50,000|"92 Monard Dr"|||"08701"|"732-397-2370"|"333-871-9632"|jscoma@gmail.com|"2007-07-12T00:00:00.000Z"|50
5981|Valerie|Elwonger|M|"35-44"|Executive/Managerial||> 200,000|"74183 Stratford Ave"|||"07405"|"973-497-2096"|"813-313-8486"|velwonger@cox.net|"2011-02-09T00:00:00.000Z"|793
5991|Lorita|Kenner|"0"|"35-44"|Writer||> 200,000|"55 Speedwell Ave #6845"|||"99501"|"907-415-6416"|"647-172-6613"|lorita@kenner.com|"2009-04-05T00:00:00.000Z"|380
5972|Latrice|Rieks|"0"|"25-34"|Writer||< 50,000|"5963 Pioneer Ct #828"|||"22314"|"703-557-3799"|"410-448-3965"|latrice_rieks@rieks.org|"2012-10-31T00:00:00.000Z"|303
5838|Lissa|Schoenmaker|"0"|"45-49"|Executive/Managerial||"50,000-99,999"|"91276 W Hwy 98 Tops L #1604"|||"10459"|"718-621-4258"|"623-219-3439"|lissa_schoenmaker@cox.net|"2011-08-02T00:00:00.000Z"|968
5835|Lashawn|Fryberger|"0"|"35-44"|Other||"100,000-149,999"|"3 Willow Park Rd"|||"75244"|"972-57"|"2-582-2122"|lashawn.fryberger@hotmail.com|"2011-12-20T00:00:00.000Z"|382
6018|Sonja|Carza|"1"|"35-44"|Academic/Educator||< 50,000|"659 S Hardy Dr"|||"75060"|"972-889-7060"|"24-199-2479"|sonja|"2013-09-11T00:00:00.000Z"|914
5889|Savannah|Hofman|"1"|"50-55"|Writer||< 50,000|"80739 Market St"|||"13214"|"315-957-6922"|"604-22-1026"|savannah.hofman@hofman.com|"2015-01-09T00:00:00.000Z"|944
5834|Sterling|Earley|"1"|"56+"|Self-Employed||"150,000-199,999"|"390 S Dunworth St"|||"93401"|"805-689-4134"|"644-613-6937"|searley@yahoo.com|"2015-01-05T00:00:00.000Z"|974
5797|Shandra|Drozdowicz|"1"|"25-34"|Executive/Managerial||> 200,000|"51473 Sand Island Accesse #485"|||"08030"|"856-657-9287"|"858-222-2290"|shandra@drozdowicz.com|"2015-11-06T00:00:00.000Z"|878
5886|Almeta|Oherron|"1"|"25-34"|Writer|Married|"150,000-199,999"|"7391 S Airport Rd"|||"46601"|"574-682-4799"|"639-349-1920"|almeta@cox.net|"2013-09-07T00:00:00.000Z"|509
6015|Shanika|Keltt|F|"25-34"|Homemaker|"1 - Married"|"50,000-99,999"|"72 Marguerite Pky #83"|||"15216"|"412-72"|"438-705-5283"|shanika_keltt@hotmail.com|"2013-09-17T00:00:00.000Z"|847
6012|Nam|Schaffer|M|"35-44"|Scientist|"1 - Married"|> 200,000|"7 West Ln #54"|||"11735"|"516-914-9490"|"394-378-38"|nam.schaffer@yahoo.com|"2016-03-29T00:00:00.000Z"|290
5975|Tu|Selden|M|"25-34"|Sales/Marketing|"1 - Married"|"100,000-149,999"|"1977 251n N  Hwy 38 #92"|||"06811"|"203-695-3061"|"159-443-7997"|tselden@aol.com|"2012-01-06T00:00:00.000Z"|899
5960|Travis|Sosna|F|"45-49"|Other|"1 - Married"|"100,000-149,999"|"70 Route 38 #1"|||"18505"|"570-232-8037"|"433-936-9473"|travis@sosna.com|"2016-04-28T00:00:00.000Z"|10
5954|Ok|Mander|M|"45-49"|Lawyer|"1 - Married"|< 50,000|"5014 Roszel Rd"|||"10019"|"212-310-5849"|"95-462-833"|ok@gmail.com|"2013-07-03T00:00:00.000Z"|905
5922|Riva|Siroky|M|"56+"|Clerical/Admin|"1 - Married"|"150,000-199,999"|"7 Executive Pky"|||"60634"|"773-706-3957"|"604-285-1036"|rsiroky@cox.net|"2011-03-28T00:00:00.000Z"|581
5873|Kymberly|Schanbacher|M|"18-24"|Programmer|"1 - Married"|< 50,000|"1279 5th St E"|||"65109"|"573-639-4133"|"393-451-4826"|kschanbacher@schanbacher.com|"2014-06-13T00:00:00.000Z"|580
5883|Gaye|Stockfisch|F|"18-24"|Other|"1 - Married"|"50,000-99,999"|"7994 E 236th St"|||"92335"|"909-387-9613"|"750-764-7813"|gstockfisch|"2009-08-18T00:00:00.000Z"|948
5974|Mariah|Sadat|"0"|"25-34"|Academic/Educator|"1 - Married"|< 50,000|"12676 Haverford Ave"|||"91321"|"661-96"|"946-834-6867"|msadat@gmail.com|"2008-11-10T00:00:00.000Z"|394
5783|Mike|Matterson|"0"|"45-49"|Academic/Educator|"1 - Married"|> 200,000|"849 S Breiel Blvd"|||"90404"|"310-233-3904"|"809-785-9859"|mike@aol.com|"2009-10-14T00:00:00.000Z"|482
5943|Frances|Kennin|F|"45-49"|Academic/Educator|"1 - Married"|"50,000-99,999"|"788 Albert St"|||"07801"|"973-595-8188"|"210-333-2027"|frances.kennin@kennin.org|"2013-05-11T00:00:00.000Z"|943
5901|Francene|Kitanik|F|"35-44"|Executive/Managerial|"1 - Married"|"150,000-199,999"|"781 Chartres St"|||"07728"|"732-374-6292"|"314-489-4409"|francene_kitanik@aol.com|"2015-01-24T00:00:00.000Z"|149
5882|Sol|Kirshman|"1"|"35-44"|Executive/Managerial|"1 - Married"|> 200,000|"19782 Cloverdale Ave"|||"33142"|"305-35"|"393-683-2484"|sol.kirshman@hotmail.com|"2011-06-24T00:00:00.000Z"|387
5851|Ching|Moallankamp|"0"|"18-24"|Writer|"1 - Married"|"150,000-199,999"|"8895 Warehouse Point Rd"|||"90013"|"213-531-5463"|"488-113-1595"|cmoallankamp|"2012-10-10T00:00:00.000Z"|475
5855|Misty|Mehring|"1"|"50-55"|Executive/Managerial|"1 - Married"|"50,000-99,999"|"244 E Camelback Rd #147"|||"63110"|"314-720-6578"|"213-146-5863"|misty_mehring|"2013-03-15T00:00:00.000Z"|22
5820|Malena|Mcvicker|"1"|"45-49"|Other|"1 - Married"|< 50,000|"1492 W Grand Ave"|||"29303"|"864-642-4025"|"328-716-3315"|mmcvicker@mcvicker.com|"2014-04-07T00:00:00.000Z"|367
5944|Johnetta|Sokolowich|"0"|"18-24"|K-12 Student|"1 - Married"|"50,000-99,999"|"6806 W Lake St #18"|||"96819"|"808-677-7696"|"533-562-5598"|johnetta_sokolowich@sokolowich.org|"2009-12-19T00:00:00.000Z"|309
5847|Jene|Sigler|"0"|"18-24"|College/Grad Student|"1 - Married"|"100,000-149,999"|"36570 Ferry St"|||"10454"|"718-966-7795"|"518-458-4882"|jene.sigler@hotmail.com|"2010-09-06T00:00:00.000Z"|955
5891|Lester|Sprenger|"1"|"18-24"|College/Grad Student|"1 - Married"|< 50,000|"3 Front Beach Rd #80"|||"45402"|"937-963-7175"|"117-578-7483"|lester@sprenger.com|"2011-09-01T00:00:00.000Z"|867
5788|Lilian|Savina|"1"|"25-34"|Other|"1 - Married"|< 50,000|"6 S Windermere St"|||"77040"|"713-329-6820"|"397-141-5130"|lilian_savina@yahoo.com|"2013-01-13T00:00:00.000Z"|610
6006|Kyra|Kuns|F|Under 18|Other|"0 - Single"|"0"|"16518 Stt Paul Stre"|||"70116"|"504-427-3905"|"29-130-8354"|kyra@gmail.com|"2013-10-13T00:00:00.000Z"|317
5897|Kim|Koenen|M|"25-34"|Writer|"0 - Single"|< 50,000|"821 Bainbridge Rd #39"|||"19107"|"215-776-2275"|"626-567-7293"|kim.koenen@koenen.com|"2012-12-22T00:00:00.000Z"|485
5844|Temple|Kilbourne|F|Under 18|K-12 Student|"0 - Single"|"0"|"9 E Saint Elmo Rd"|||"72764"|"479-724-1627"|"799-115-9935"|tkilbourne@hotmail.com|"2010-11-12T00:00:00.000Z"|146
5807|Victor|Kastein|M|"35-44"|Executive/Managerial|"0 - Single"|> 200,000|"617 Landmeier Rd"|||"94577"|"510-276-9649"|"192-144-3894"|victor@gmail.com|"2015-08-17T00:00:00.000Z"|309
5988|Lyman|Kallus|"1"|"25-34"|Scientist|"0 - Single"|< 50,000|"7 Watt Ave"|||"95826"|"916-504-2402"|"699-600-171"|lyman_kallus@gmail.com|"2012-07-22T00:00:00.000Z"|793
5893|Lincoln|Jageman|"1"|"25-34"|Executive/Managerial|Married|"100,000-149,999"|"6 72nd Ave S"|||"92408"|"909-547-4885"|"209-211-2150"|lincoln@jageman.com|"2007-11-09T00:00:00.000Z"|865
5931|Beverly|Sixsmith|F|"18-24"|Executive/Managerial|"0 - Single"|"50,000-99,999"|"599 San Fernando Rd #952"|||"55404"|"612-941-4019"|"761-257-2087"|beverly.sixsmith|"2011-12-28T00:00:00.000Z"|178
5905|Stanley|Swiatek|F|"35-44"|Writer|"0 - Single"|"100,000-149,999"|"4223 N Industrial Park"|||"89101"|"702-893-5016"|"416-397-9684"|stanley.swiatek@aol.com|"2012-03-24T00:00:00.000Z"|-3
5803|Ezequiel|Sargent|M|Under 18|K-12 Student|"0 - Single"|"0"|"98271 Monte Vista Ave"|||"19601"|"610-641-3675"|"95-618-4621"|ezequiel.sargent@aol.com|"2015-12-17T00:00:00.000Z"|5
5790|Earle|Senff|F|"35-44"|Other|"0 - Single"|"100,000-149,999"|"982 Surrey St"|||"70032"|"504-993"|"428-36-1191"|earle@senff.org|"2007-03-12T00:00:00.000Z"|123
5932|Hui|Sobers|M|"18-24"|Sales/Marketing|"0 - Single"|"100,000-149,999"|"10826 Austin Bluffs Pky"|||"92392"|"760-727-5849"|"91-205-4432"|hui_sobers@hotmail.com|"2015-01-10T00:00:00.000Z"|847
5785|Roberto|Sarni|F|"25-34"|Executive/Managerial|"0 - Single"|"50,000-99,999"|"57993 Spencerville Ct"|||"90040"|"323-387-7488"|"297-864-1675"|roberto_sarni@sarni.com|"2012-02-15T00:00:00.000Z"|837
5867|Daisy|Stadden|F|"45-49"|Clerical/Admin|"0 - Single"|< 50,000|"9 Atlantic Ave #74"|||"08540"|"609-632-1489"|"367-422-5012"|daisy@stadden.com|"2015-06-07T00:00:00.000Z"|271
5949|Shenna|Sourlis|"1"|"18-24"|Technical/Engineer|"0 - Single"|"150,000-199,999"|"897 Pahounui Dr"|||"23834"|"804-628-9897"|"373-66-2320"|ssourlis@yahoo.com|"2007-04-28T00:00:00.000Z"|633
5818|Malissa|Shuffler|"1"|"25-34"|College/Grad Student|"0 - Single"|"150,000-199,999"|"14 Stone Way N"|||"77301"|"936-789-8586"|"200-668-3875"|mshuffler|"2007-04-25T00:00:00.000Z"|607
5979|Mae|Schrunk|"1"|"25-34"|Academic/Educator|"0 - Single"|< 50,000|"63053 E Tioga St #7"|||"90048"|"323-242-9567"|"439-137-6710"|mschrunk@schrunk.org|"2009-03-21T00:00:00.000Z"|26
5909|Louis|Stookey|"1"|"18-24"|Writer|"0 - Single"|"100,000-149,999"|"562 Bloomfield Ave"|||"97302"|"503-890-"|"269-188-9665"|louis_stookey@aol.com|"2007-11-04T00:00:00.000Z"|869
5854|Christy|Sollors|"1"|"45-49"|Executive/Managerial|"0 - Single"|"50,000-99,999"|"7499 W Grand St"|||"11201"|"718-557-2135"|"618-952-8950"|christy.sollors@aol.com|"2007-12-27T00:00:00.000Z"|857
5791|Chad|Solana|"1"|"18-24"|College/Grad Student|"0 - Single"|> 200,000|"4 Madison Ave"|||"23452"|"757-631-6420"|"143-533-5112"|csolana@cox.net|"2015-08-10T00:00:00.000Z"|56
6030|Carman|Silano|"1"|"25-34"|Technical/Engineer|"0 - Single"|"150,000-199,999"|"867 Hazel St"|||"07424"|"973-610-4790"|"76-220-2442"|carman.silano@aol.com|"2015-12-29T00:00:00.000Z"|230
5923|Chong|Yunk|"1"|"25-34"|Executive/Managerial|Married|"100,000-149,999"|"5487 2nd Ave"|||"08817"|"732-241-8410"|"321-111-4979"|cyunk@yunk.com|"2007-08-25T00:00:00.000Z"|6
5914|Ilda|Mower|M|"35-44"|Artist|"0 - Single"|> 200,000|"2 W Mount Pleasant Ave"|||"32835"|"407-757-8035"|"70-318-6555"|imowermower.com|"2015-09-15T00:00:00.000Z"|873
5911|Norris|Mosqueda|F|"25-34"|Technical/Engineer|"0 - Single"|< 50,000|"6 S Main St"|||"96701"|"808-431-9"|"37-993-5874"|norris@gmail.com|"2016-05-27T00:00:00.000Z"|830
5839|Thelma|Millson|M|"25-34"|Academic/Educator|"0 - Single"|"150,000-199,999"|"7923 Andover St"|||"39501"|"228-915-4922"|"897-300-4678"|thelma_millson@hotmail.com|"2014-10-24T00:00:00.000Z"|744
5819|Yuki|Melody|M|"50-55"|Doctor/Health Care|"0 - Single"|"100,000-149,999"|"22156 Saint Clair Ave #2"|||"18508"|"570-862-5394"|"136-755-1069"|yuki_melody@hotmail.com|"2015-04-13T00:00:00.000Z"|235
5809|Janell|Magnini|M|"25-34"|Executive/Managerial|"0 - Single"|> 200,000|"82 Elm St"|||"60638"|"773-247-2"|"906-339-6124"|janell|"2014-02-26T00:00:00.000Z"|293
5953|Parker|Mattock|M|Under 18|K-12 Student|"0 - Single"|"0"|"36927 James St"|||"93534"|"661-643-7897"|"87-157-6119"|parker.mattock@mattock.com|"2010-08-14T00:00:00.000Z"|815
5824|Dara|Moriera|M|"18-24"|Programmer|"0 - Single"|"100,000-149,999"|"22 Bandera Rd"|||"07004"|"973-541-9872"|"291-54-9934"|dara.moriera@moriera.org|"2013-07-06T00:00:00.000Z"|159
5884|Cody|Mosses|"1"|"18-24"|College/Grad Student|"0 - Single"|"50,000-99,999"|"31 Us Highway 206"|||"08060"|"609-821-9364"|"222-109-3340"|cody.mosses@gmail.com|"2013-10-05T00:00:00.000Z"|578
6011|Adrienne|Ship|"1"|"35-44"|Scientist||"100,000-149,999"|"8549 W Pioneer Dr"|||"32812"|"407-670-8413"|"705-63-3086"|adrienne.ship@yahoo.com|"2010-10-16T00:00:00.000Z"|241
5970|Chung|Ferdinand|"1"|"35-44"|Lawyer||"150,000-199,999"|"3371 Ernest St"|||"96822"|"808-561-1893"|"762-632-9207"|chung@yahoo.com|"2008-03-31T00:00:00.000Z"|10
6008|Wilda|Bresnahan|M|"18-24"|College/Grad Student|Married|"100,000-149,999"|"2 N Lacy Dr"|||"75023"|"972-579-4197"|"400-474-5545"|wilda_bresnahan|"2016-03-25T00:00:00.000Z"|722
5967|Jacquie|Blocker|M|"50-55"|Self-Employed|Married|"50,000-99,999"|"7 E Main St"|||"10013"|"212"|"330-379-8180"|jacquie.blocker|"2007-11-21T00:00:00.000Z"|887
5961|Katia|Gerena|F|"45-49"|Other|Married|"50,000-99,999"|"85 Frankford Ave"|||"10004"|"212-936-4138"|"177-883-4722"|kgerena@hotmail.com|"2007-12-22T00:00:00.000Z"|899
